type,label,value
species,Forsteronia myriantha-FORSMY-FORM,3617628
species,Fridericia candicans-ARRACA-ARR1,8032537
species,Fridericia chica-ARRACH-ARR2,7669080
species,Fridericia florida-ARRAFL-ARRF,7423177
species,Fridericia patellifera-ARRAPA-ARRP,8375350
species,Fridericia schumanniana-ARRAVE-ARRV,7930324
species,Fuirena umbellata,2718992
species,Funastrum clausum-FUNACL,3170223
species,Furcraea cabuya,2769847
species,Garcia nutans-GARCNU-GARN,3071459
species,Garcinia intermedia-GAR2IN-RHEE,3714243
species,Garcinia madruno-GAR2MA-RHEA,3713863
species,Garcinia mangostana-GAR2M2,3189571
species,Genipa americana-GENIAM-GENA,2895593
species,Geonoma congesta-GEONCO-GEO2,2734302
species,Geonoma cuneata-GEONCU-GEOC,2734082
species,Geonoma interrupta-GEONIN-GEOI,2734323
species,Geonoma procumbens,2734087
species,Geophila gracilis,5340391
species,Geophila repens,5340379
species,Gibasis geniculata,2764872
species,Gleichenella pectinata,3789904
species,Gnetum leyboldii-GNETLE-GNEL,2653166
species,Gomphrena serrata,3084909
species,Gongora fulva,2839072
species,Gonolobus albomarginatus-GON1AL-GONA,3572413
species,Gouania colombiana-GOUACO-GOUC,5603088
species,Gouania polygama-GOUAPO-GOUP,5372439
species,Grias cauliflora-GRIACA-GRIF,3082334
species,Guadua macclurei,4154822
species,Guapira myrtiflora-GUAPST-GUAS,3701155
species,Guarea bullata-GUARSP-GUA3,3849647
species,Guarea grandifolia-GUARGR-GUA1,3852108
species,Guarea guidonia-GUARGU-GUA2,3190500
species,Guarianthe patinii,2816065
species,Guatteria amplifolia-GUATAM-GUAA,3155625
species,Guatteria lucens-GUATDU-GUAD,3155712
species,Guazuma ulmifolia-GUAZUL-GUAU,3152195
species,Guettarda foliacea-GUETFO-GUEF,2894890
species,Gurania bignoniacea-GURACO-GURC,3624043
species,Gurania makoyana-GURAMA-GUR1,3623306
species,Gurania tubulosa-GURATU-GUR2,3622595
species,Gustavia fosteri-GUSTFO-GUSF,5383826
species,Gustavia superba-GUSTSU-GUSS,5383848
species,Guzmania lingulata,2699095
species,Guzmania monostachia,2699018
species,Gynerium sagittatum,5289743
species,Habenaria alata,2829178
species,Habenaria bicornis,2828570
species,Habenaria repens,2830046
species,Habranthus tubispathus,2853552
species,Hamelia axillaris-HAMEAX-HAM1,2902047
species,Hamelia patens-HAMEPA-HAMP,2902066
species,Hampea appendiculata-HAMPAP-HAM2,7279624
species,Handroanthus guayacan-TAB1GU-TABG,4092274
species,Handroanthus ochraceus-TAB1OC-TABO,4092146
species,Hasseltia floribunda-HASSFL-HASF,7760145
species,Hawkesiophyton ulei-MARKUL-MARU,3803090
species,Hebeclinium macrophyllum,3139425
species,Heisteria acuminata-HEISAC-HEIA,7222047
species,Heisteria concinna-HEISCO-HEIC,7432012
species,Heisteria macrophylla-HEISMA,8046878
species,Heliconia curtispatha,2760903
species,Heliconia irrasa,2760834
species,Heliconia latispatha,2760940
species,Heliconia mariae,2760810
species,Heliconia metallica,2760726
species,Heliconia platystachys,2760865
species,Heliconia vaginalis,2760862
species,Heliconia wagneriana,2760619
species,Heliocarpus americanus-HELIAM-HELP,4259460
species,Heliotropium angustiflorum-TOURAN,10931974
species,Heliotropium indicum,2925788
species,Heliotropium verdcourtii-TOURHI-TOUH,4060815
species,Hemidictyum marginatum,2650883
species,Hemionitis palmata,2651709
species,Henriettea succosa-HENRSU,3860494
species,Herpetacanthus panamensis,3781085
species,Herrania nycterodendron-HERRNY,3668149
species,Herrania purpurea-HERRPU-HERP,3668083
species,Heterocondylus vitalbae-HET1VI,3142668
species,Heteropterys laurifolia-HETELA-HETL,3191295
species,Heteropterys obovata-HETEOB,3982741
species,Heteropterys panamensis-HETEPA-HETP,3982625
species,Heterotaxis crassifolia,5319467
species,Hevea brasiliensis-HEVEBR,3071171
species,Hibiscus bifurcatus-HIBIBI,3152591
